weight_monotonicity, weight_smoothness, weight_empty, weight_max_corner, weight_max_tile, weight_node_average, weight_node_access, score, max_tile
2.41, 2.36, 1.05, 0.25, 1.13, 0.43, 0.22, 2664, 256
2.41, 2.36, 1.05, 0.25, 1.13, 0.43, 0.22, 3112, 256
2.41, 2.36, 1.05, 0.25, 1.13, 0.43, 0.22, 3072, 256
2.41, 2.36, 1.05, 0.25, 1.13, 0.43, 0.22, 5400, 512
2.41, 2.36, 1.05, 0.25, 1.13, 0.43, 0.22, 7316, 512
1.71, 1.35, 0.8, 0.17, 0.37, 1.28, 0.37, 3160, 256
1.71, 1.35, 0.8, 0.17, 0.37, 1.28, 0.37, 4776, 512
1.71, 1.35, 0.8, 0.17, 0.37, 1.28, 0.37, 5780, 512
1.71, 1.35, 0.8, 0.17, 0.37, 1.28, 0.37, 6528, 512
1.71, 1.35, 0.8, 0.17, 0.37, 1.28, 0.37, 15248, 1024
2.78, 2.88, 1.47, 0.14, 0.78, 1.24, 0.15, 2988, 256
2.78, 2.88, 1.47, 0.14, 0.78, 1.24, 0.15, 6228, 512
2.78, 2.88, 1.47, 0.14, 0.78, 1.24, 0.15, 6624, 512
2.78, 2.88, 1.47, 0.14, 0.78, 1.24, 0.15, 10276, 1024
2.78, 2.88, 1.47, 0.14, 0.78, 1.24, 0.15, 12228, 1024
1.56, 1.76, 1.14, 0.77, 0.58, 1.36, 0.2, 4500, 512
1.56, 1.76, 1.14, 0.77, 0.58, 1.36, 0.2, 4076, 256
1.56, 1.76, 1.14, 0.77, 0.58, 1.36, 0.2, 4324, 256
1.56, 1.76, 1.14, 0.77, 0.58, 1.36, 0.2, 5432, 512
1.56, 1.76, 1.14, 0.77, 0.58, 1.36, 0.2, 11584, 1024
2.91, 2.72, 1.66, 0.18, 0.69, 1.04, 0.16, 5056, 512
2.91, 2.72, 1.66, 0.18, 0.69, 1.04, 0.16, 5276, 512
2.91, 2.72, 1.66, 0.18, 0.69, 1.04, 0.16, 5316, 512
2.91, 2.72, 1.66, 0.18, 0.69, 1.04, 0.16, 5760, 512
2.91, 2.72, 1.66, 0.18, 0.69, 1.04, 0.16, 6776, 512
2.02, 2.61, 1.17, 0.12, 0.37, 1.16, 0.09, 4688, 256
2.02, 2.61, 1.17, 0.12, 0.37, 1.16, 0.09, 5196, 512
2.02, 2.61, 1.17, 0.12, 0.37, 1.16, 0.09, 5480, 512
2.02, 2.61, 1.17, 0.12, 0.37, 1.16, 0.09, 5944, 512
2.02, 2.61, 1.17, 0.12, 0.37, 1.16, 0.09, 7116, 512
2.9, 1.65, 1.81, 1.24, 1.22, 0.69, 0.17, 1916, 128
2.9, 1.65, 1.81, 1.24, 1.22, 0.69, 0.17, 3032, 256
2.9, 1.65, 1.81, 1.24, 1.22, 0.69, 0.17, 5296, 512
2.9, 1.65, 1.81, 1.24, 1.22, 0.69, 0.17, 6628, 512
2.9, 1.65, 1.81, 1.24, 1.22, 0.69, 0.17, 6796, 512
2.63, 1.46, 1.11, 1.13, 0.23, 1.91, 0.12, 4624, 512
2.63, 1.46, 1.11, 1.13, 0.23, 1.91, 0.12, 6024, 512
2.63, 1.46, 1.11, 1.13, 0.23, 1.91, 0.12, 6464, 512
2.63, 1.46, 1.11, 1.13, 0.23, 1.91, 0.12, 7464, 512
2.63, 1.46, 1.11, 1.13, 0.23, 1.91, 0.12, 11380, 1024
1.58, 1.09, 1.44, 1.45, 0.28, 1.99, 0.18, 6636, 512
1.58, 1.09, 1.44, 1.45, 0.28, 1.99, 0.18, 10348, 1024
1.58, 1.09, 1.44, 1.45, 0.28, 1.99, 0.18, 11608, 1024
1.58, 1.09, 1.44, 1.45, 0.28, 1.99, 0.18, 11772, 1024
1.58, 1.09, 1.44, 1.45, 0.28, 1.99, 0.18, 13468, 1024
1.97, 0.75, 0.94, 0.55, 0.88, 1.82, 0.05, 2660, 256
1.97, 0.75, 0.94, 0.55, 0.88, 1.82, 0.05, 4976, 512
1.97, 0.75, 0.94, 0.55, 0.88, 1.82, 0.05, 5132, 512
1.97, 0.75, 0.94, 0.55, 0.88, 1.82, 0.05, 10720, 1024
1.97, 0.75, 0.94, 0.55, 0.88, 1.82, 0.05, 16320, 1024
1.47, 2.86, 0.85, 0.18, 1.07, 1.53, 0.18, 6112, 512
1.47, 2.86, 0.85, 0.18, 1.07, 1.53, 0.18, 6360, 512
1.47, 2.86, 0.85, 0.18, 1.07, 1.53, 0.18, 6260, 512
1.47, 2.86, 0.85, 0.18, 1.07, 1.53, 0.18, 6456, 512
1.47, 2.86, 0.85, 0.18, 1.07, 1.53, 0.18, 7128, 512
2.05, 1.54, 1.59, 1.2, 1.07, 1.65, 0.2, 3204, 256
2.05, 1.54, 1.59, 1.2, 1.07, 1.65, 0.2, 5380, 512
2.05, 1.54, 1.59, 1.2, 1.07, 1.65, 0.2, 10268, 1024
2.05, 1.54, 1.59, 1.2, 1.07, 1.65, 0.2, 12152, 1024
2.05, 1.54, 1.59, 1.2, 1.07, 1.65, 0.2, 12684, 1024
2.47, 1.11, 1.96, 0.5, 0.72, 0.31, 0.26, 1444, 128
2.47, 1.11, 1.96, 0.5, 0.72, 0.31, 0.26, 2084, 128
2.47, 1.11, 1.96, 0.5, 0.72, 0.31, 0.26, 3016, 256
2.47, 1.11, 1.96, 0.5, 0.72, 0.31, 0.26, 6972, 512
2.47, 1.11, 1.96, 0.5, 0.72, 0.31, 0.26, 15516, 1024
1.66, 2.12, 1.34, 0.67, 1.5, 0.13, 0.17, 1472, 128
1.66, 2.12, 1.34, 0.67, 1.5, 0.13, 0.17, 2720, 256
1.66, 2.12, 1.34, 0.67, 1.5, 0.13, 0.17, 4100, 256
1.66, 2.12, 1.34, 0.67, 1.5, 0.13, 0.17, 6700, 512
1.66, 2.12, 1.34, 0.67, 1.5, 0.13, 0.17, 7036, 512
2.62, 1.26, 1.51, 1.14, 1.05, 0.35, 0.17, 3452, 256
2.62, 1.26, 1.51, 1.14, 1.05, 0.35, 0.17, 3636, 256
2.62, 1.26, 1.51, 1.14, 1.05, 0.35, 0.17, 3920, 256
2.62, 1.26, 1.51, 1.14, 1.05, 0.35, 0.17, 5420, 512
2.62, 1.26, 1.51, 1.14, 1.05, 0.35, 0.17, 12272, 1024
1.87, 2.27, 1.59, 1.47, 1.2, 1.69, 0.34, 3048, 256
