alpha,beta,score,max_tile
0.05, 1.0, 3144, 256
0.05, 1.0, 7028, 512
0.05, 1.0, 11480, 1024
0.05, 1.0, 11516, 1024
0.05, 1.0, 12156, 1024
0.05, 1.0, 2776, 256
0.05, 1.0, 5504, 512
0.05, 1.0, 6844, 512
0.05, 1.0, 7000, 512
0.05, 1.0, 10296, 1024
0.1, 1.0, 2448, 256
0.1, 1.0, 3288, 256
0.1, 1.0, 6272, 512
0.1, 1.0, 6728, 512
0.1, 1.0, 7040, 512
0.1, 1.0, 1384, 128
0.1, 1.0, 6424, 512
0.1, 1.0, 6632, 512
0.1, 1.0, 10720, 1024
0.1, 1.0, 11976, 1024
0.15, 1.0, 6272, 512
0.15, 1.0, 7096, 512
0.15, 1.0, 15896, 1024
0.15, 1.0, 15896, 1024
0.15, 1.0, 16184, 1024
0.15, 1.0, 5388, 512
0.15, 1.0, 11304, 1024
0.15, 1.0, 12300, 1024
0.15, 1.0, 12344, 1024
0.15, 1.0, 32492, 2048
0.2, 1.0, 3424, 256
0.2, 1.0, 11116, 1024
0.2, 1.0, 15448, 1024
0.2, 1.0, 16116, 1024
0.2, 1.0, 16604, 1024
0.2, 1.0, 7676, 512
0.2, 1.0, 12108, 1024
0.2, 1.0, 14312, 1024
0.2, 1.0, 14324, 1024
0.2, 1.0, 25848, 2048
0.25, 1.0, 3984, 256
0.25, 1.0, 7204, 512
0.25, 1.0, 10012, 1024
0.25, 1.0, 12404, 1024
0.25, 1.0, 14624, 1024
0.25, 1.0, 5532, 512
0.25, 1.0, 7108, 512
0.25, 1.0, 14232, 1024
0.25, 1.0, 16156, 1024
0.25, 1.0, 16176, 1024
0.3, 1.0, 10440, 1024
0.3, 1.0, 12856, 1024
0.3, 1.0, 25240, 2048
0.3, 1.0, 32200, 2048
0.3, 1.0, 34856, 2048
0.3, 1.0, 10756, 1024
0.3, 1.0, 12204, 1024
0.3, 1.0, 12520, 1024
0.3, 1.0, 15948, 1024
0.3, 1.0, 23272, 2048
0.35, 1.0, 2324, 256
0.35, 1.0, 7268, 512
0.35, 1.0, 12144, 1024
0.35, 1.0, 16364, 1024
0.35, 1.0, 16232, 1024
0.35, 1.0, 5532, 512
0.35, 1.0, 6464, 512
0.35, 1.0, 7624, 512
0.35, 1.0, 8184, 512
0.35, 1.0, 11136, 1024
0.4, 1.0, 3700, 256
0.4, 1.0, 4188, 256
0.4, 1.0, 12796, 1024
0.4, 1.0, 15176, 1024
0.4, 1.0, 16272, 1024
0.4, 1.0, 14728, 1024
0.4, 1.0, 16232, 1024
0.4, 1.0, 18256, 1024
0.4, 1.0, 23904, 2048
0.4, 1.0, 25012, 2048
