pygame 2.6.1 (SDL 2.28.4, Python 3.12.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
Starting Incremental Search for Alpha-Beta Optimization...

alpha, beta, score, max_tile
0.3, 1.05, 5480, 512
0.3, 1.05, 8052, 512
0.3, 1.05, 8732, 512
0.3, 1.05, 16308, 1024
0.3, 1.05, 31288, 2048
0.3, 1.05, 5292, 512
0.3, 1.05, 7208, 512
0.3, 1.05, 10532, 1024
0.3, 1.05, 10640, 1024
0.3, 1.05, 15944, 1024
0.3, 1.1, 5252, 512
0.3, 1.1, 7484, 512
0.3, 1.1, 11892, 1024
0.3, 1.1, 16376, 1024
0.3, 1.1, 16448, 1024
0.3, 1.1, 6840, 512
0.3, 1.1, 7868, 512
0.3, 1.1, 14500, 1024
0.3, 1.1, 16432, 1024
0.3, 1.1, 16388, 1024
0.3, 1.15, 7004, 512
0.3, 1.15, 6944, 512
0.3, 1.15, 13232, 1024
0.3, 1.15, 16120, 1024
0.3, 1.15, 23196, 2048
0.3, 1.15, 7088, 512
0.3, 1.15, 15400, 1024
0.3, 1.15, 23036, 2048
0.3, 1.15, 22928, 2048
0.3, 1.15, 23584, 2048
0.3, 1.2, 6852, 512
0.3, 1.2, 12700, 1024
0.3, 1.2, 15444, 1024
0.3, 1.2, 16376, 1024
0.3, 1.2, 26936, 2048
0.3, 1.2, 5732, 512
0.3, 1.2, 14240, 1024
0.3, 1.2, 13568, 1024
0.3, 1.2, 15676, 1024
0.3, 1.2, 16100, 1024
0.3, 1.25, 12200, 1024
0.3, 1.25, 15324, 1024
0.3, 1.25, 15780, 1024
0.3, 1.25, 16088, 1024
0.3, 1.25, 25508, 2048
0.3, 1.25, 9644, 1024
0.3, 1.25, 10392, 1024
0.3, 1.25, 11724, 1024
0.3, 1.25, 14068, 1024
0.3, 1.25, 27284, 2048
0.3, 1.3, 15364, 1024
0.3, 1.3, 15616, 1024
0.3, 1.3, 16008, 1024
0.3, 1.3, 15816, 1024
0.3, 1.3, 16052, 1024
0.3, 1.3, 5472, 512
0.3, 1.3, 7496, 512
0.3, 1.3, 21716, 2048
0.3, 1.3, 22568, 2048
0.3, 1.3, 23264, 2048
0.3, 1.35, 2188, 256
0.3, 1.35, 5484, 512
0.3, 1.35, 7600, 512
0.3, 1.35, 27116, 2048
0.3, 1.35, 26980, 2048
0.3, 1.35, 6744, 512
0.3, 1.35, 7820, 512
0.3, 1.35, 15120, 1024
0.3, 1.35, 22968, 2048
0.3, 1.35, 35460, 2048
0.3, 1.4, 7308, 512
0.3, 1.4, 7496, 512
0.3, 1.4, 10928, 1024
0.3, 1.4, 30508, 2048
0.3, 1.4, 31688, 2048
0.3, 1.4, 6696, 512
0.3, 1.4, 10068, 1024
0.3, 1.4, 15456, 1024
0.3, 1.4, 15560, 1024
0.3, 1.4, 26876, 2048
0.3, 1.45, 2488, 256
0.3, 1.45, 16040, 1024
0.3, 1.45, 21744, 2048
0.3, 1.45, 22008, 2048
0.3, 1.45, 22136, 2048
0.3, 1.45, 7200, 512
0.3, 1.45, 7332, 512
0.3, 1.45, 16072, 1024
0.3, 1.45, 26992, 2048
0.3, 1.45, 34220, 2048
0.3, 1.5, 6184, 512
0.3, 1.5, 10684, 1024
0.3, 1.5, 12320, 1024
0.3, 1.5, 16188, 1024
0.3, 1.5, 25688, 2048
0.3, 1.5, 3040, 256
0.3, 1.5, 5304, 512
0.3, 1.5, 15468, 1024
0.3, 1.5, 15328, 1024
0.3, 1.5, 15844, 1024
0.3, 1.55, 3044, 256
0.3, 1.55, 3248, 256
0.3, 1.55, 6860, 512
0.3, 1.55, 10656, 1024
0.3, 1.55, 26816, 2048
0.3, 1.55, 6996, 512
0.3, 1.55, 12096, 1024
0.3, 1.55, 12176, 1024
0.3, 1.55, 13812, 1024
0.3, 1.55, 15084, 1024
0.3, 1.6, 3432, 256
0.3, 1.6, 7372, 512
0.3, 1.6, 10308, 1024
0.3, 1.6, 15112, 1024
0.3, 1.6, 23392, 2048
0.3, 1.6, 3412, 256
0.3, 1.6, 4764, 256
0.3, 1.6, 7080, 512
0.3, 1.6, 7440, 512
0.3, 1.6, 15624, 1024
0.3, 1.65, 3464, 256
0.3, 1.65, 5612, 512
0.3, 1.65, 6292, 512
0.3, 1.65, 10740, 1024
0.3, 1.65, 16148, 1024
0.3, 1.65, 5452, 512
0.3, 1.65, 6460, 512
0.3, 1.65, 8304, 512
0.3, 1.65, 15788, 1024
0.3, 1.65, 15980, 1024
0.3, 1.7, 3896, 256
0.3, 1.7, 7252, 512
0.3, 1.7, 13696, 1024
0.3, 1.7, 15320, 1024
0.3, 1.7, 26484, 2048
0.3, 1.7, 3552, 256
0.3, 1.7, 7172, 512
0.3, 1.7, 16012, 1024
0.3, 1.7, 16224, 1024
0.3, 1.7, 19384, 1024
0.3, 1.75, 5456, 512
0.3, 1.75, 6816, 512
0.3, 1.75, 6488, 512
0.3, 1.75, 7236, 512
0.3, 1.75, 15252, 1024
0.3, 1.75, 5600, 512
0.3, 1.75, 7372, 512
0.3, 1.75, 11872, 1024
0.3, 1.75, 14492, 1024
0.3, 1.75, 16160, 1024
0.3, 1.8, 7008, 512
0.3, 1.8, 7400, 512
0.3, 1.8, 7460, 512
0.3, 1.8, 15536, 1024
0.3, 1.8, 15316, 1024
0.3, 1.8, 3600, 256
0.3, 1.8, 6736, 512
0.3, 1.8, 7928, 512
0.3, 1.8, 12064, 1024
0.3, 1.8, 12148, 1024
0.3, 1.85, 7392, 512
0.3, 1.85, 12384, 1024
0.3, 1.85, 12368, 1024
0.3, 1.85, 14548, 1024
0.3, 1.85, 16176, 1024
0.3, 1.85, 2760, 256
0.3, 1.85, 7260, 512
0.3, 1.85, 7392, 512
0.3, 1.85, 15764, 1024
0.3, 1.85, 15616, 1024
